patient_id,EGFR,KRAS,ALK,ROS1,TP53,STK11,KEAP1,PTEN,BRAF,PIK3CA,NFE2L2,MET,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040
PT0001,18.312,14.353,6.234,4.939,7.201,5.76,4.176,4.972,10.462,6.597,5.199,14.317,6.778,4.815,7.44,12.342,11.513,18.717,7.88,11.194,3.355,6.078,11.355,4.447,9.667,11.927,4.012,4.18,9.772,5.428,7.021,5.696,8.186,10.349,8.113,7.257,5.75,3.793,4.754,7.893,6.677,10.679,12.434,5.426,13.404,8.818,10.435,4.507,11.828,6.96,8.562,6.664
PT0002,5.809,13.055,8.761,10.472,9.364,16.096,3.535,13.164,8.082,7.9,15.871,7.116,8.094,10.438,13.073,7.295,5.934,5.267,4.342,9.115,3.998,7.698,3.506,6.881,14.977,9.129,6.488,12.556,10.674,5.095,10.921,4.933,12.517,7.126,9.319,7.609,5.268,5.459,15.91,6.101,13.872,10.924,6.756,5.845,7.729,7.881,10.761,7.326,3.435,10.115,16.394,5.86
PT0003,10.416,14.362,8.67,7.986,14.477,6.15,3.698,9.892,6.566,8.108,8.832,11.207,10.246,5.72,5.563,5.862,11.069,15.468,9.423,8.219,8.997,7.533,5.285,1.896,6.205,4.582,7.905,6.892,6.979,6.617,5.511,11.348,8.722,6.501,6.694,12.11,4.242,9.897,7.24,8.812,6.283,5.94,8.55,5.98,9.336,11.656,7.63,7.673,4.023,2.832,8.861,1.816
PT0004,5.713,15.884,12.387,9.732,5.344,3.742,5.489,11.825,5.561,20.084,19.245,7.823,9.597,3.621,8.374,4.125,15.265,4.683,6.676,4.44,11.179,8.356,12.098,7.106,5.714,10.115,18.999,4.798,6.038,5.195,10.324,10.426,14.075,4.915,10.49,12.294,16.207,5.111,2.773,9.466,6.75,9.125,5.189,8.822,4.839,13.227,5.507,3.322,10.847,12.852,4.213,5.471
PT0005,5.126,6.95,3.499,12.718,9.796,12.454,15.103,3.683,3.203,10.196,10.184,11.276,19.753,7.784,8.278,13.407,11.587,3.22,5.648,6.155,4.249,19.145,3.681,7.682,13.58,7.427,5.711,2.186,9.45,21.089,5.745,10.022,8.937,7.026,2.533,4.48,7.993,12.181,4.661,5.778,3.098,6.96,5.682,5.052,12.478,15.049,10.268,15.544,9.095,12.884,7.939,5.477
PT0006,9.771,10.88,4.857,4.833,8.355,6.273,4.196,8.286,15.846,9.86,8.88,9.597,1.567,4.203,5.469,8.431,5.087,4.824,10.29,4.802,14.735,7.234,13.821,5.932,7.706,11.884,6.041,5.811,6.869,9.252,10.785,12.663,8.898,6.716,10.433,6.087,3.208,5.313,10.888,9.334,6.189,5.713,6.312,4.826,6.546,4.733,10.773,6.461,5.835,4.155,7.329,8.022
PT0007,9.252,9.679,6.823,6.909,11.062,1.342,6.377,4.927,4.617,5.774,13.491,7.36,4.738,10.559,8.079,9.028,4.82,8.684,9.3,8.46,2.943,14.673,9.502,6.105,4.076,20.086,5.008,4.46,13.234,11.126,13.749,5.966,1.814,5.309,6.818,3.079,7.991,8.236,18.349,3.976,28.945,12.525,5.522,4.105,6.594,8.658,5.856,6.652,10.685,5.196,7.118,5.688
PT0008,7.95,7.312,10.984,5.577,9.234,7.944,4.701,7.556,3.161,10.861,14.714,3.468,5.229,11.075,11.86,8.788,8.448,12.09,7.948,6.855,12.853,5.084,7.808,3.173,5.949,6.859,7.195,7.458,4.802,11.423,13.783,17.87,6.315,6.17,3.023,19.94,9.479,15.278,8.752,11.078,3.3,3.734,9.353,12.255,4.008,17.687,14.294,11.832,5.317,19.304,9.822,6.135
PT0009,5.376,6.609,9.191,4.9,7.392,13.5,15.298,13.683,4.892,10.372,9.044,3.9,10.583,14.197,11.866,9.173,11.035,4.781,6.22,7.118,4.918,5.222,6.924,5.391,14.16,17.259,10.294,4.262,8.737,20.941,6.036,6.734,19.646,13.215,6.646,2.564,11.111,12.777,6.261,5.507,3.818,6.405,4.062,14.571,7.813,5.659,17.861,10.69,4.217,10.922,5.495,5.607
PT0010,6.213,7.207,5.919,18.848,5.995,10.528,10.382,8.229,3.261,10.264,9.965,4.614,7.827,4.464,6.193,11.21,9.076,11.793,7.268,9.329,6.05,5.761,4.222,5.535,8.799,7.217,4.492,10.458,7.492,2.473,14.476,12.08,5.637,10.58,19.211,7.109,4.38,7.881,23.532,3.597,12.179,3.84,9.413,9.536,8.665,5.259,2.682,2.738,8.844,6.704,8.975,4.445
